Country,renewable_share_pct,co2_intensity_kg_per_usd,total_co2_mt
South Korea and other OECD Asia,0.5967585303573084,2.778260466490795,17816.26743726
South Sudan,0.1619447877800094,0.7692050947519071,20.428286618
Spain,4.873168050493662,2.502466670685135,9948.794891021
Sri Lanka,8.247524550721991,1.327714488664602,466.43315467
Sudan,7.73543967416356,2.1283521297550085,386.997014593
Suriname,11.954215340576985,0.03444901579328773,66.28439541
Sweden,17.764909552873913,0.28435623858931175,1869.49718132
Switzerland,12.923368940438962,0.32183821126330014,1426.241692198
Syria,1.1326614682212053,1.1736339738036035,1379.019872228
Taiwan,1.3782590135717798,1.388280668105941,8085.566792915
Tajikistan,44.50004410328308,0.34565780512696304,186.030215943
Tanzania,9.990053324797326,2.707363546220522,238.378176961
Thailand,2.5225697839567336,4.078042623687751,7583.727864629
The,0.09469579603903215,0.12734995987263692,12.886832773
The Bahamas,0.019966577684115864,0.02655992806597498,116.276772063
Timor-Leste,0.030834366224851553,0.09535850710244788,9.219423542
Togo,12.128176410972758,0.4958636399449823,59.169506477
Tonga,0.335037038898602,0.007434245632420777,4.494701443
Tunisia,0.8906137677812067,0.6423990052246127,664.365030617
Turkiye,5.435834377007734,4.81837148741382,8870.783381144
Turkmenistan,-1.1580712068981258,0.3104254582283542,1789.169968873
Uganda,16.7022818946297,1.757510942317415,98.336468088
Ukraine,0.7232456383503569,2.695767477097892,9970.006757191
United Arab Emirates,0.08097313697487951,0.3494295147123382,6274.686190494
United States,5.8073946043721865,17.271838065305978,736601.7355
Uruguay,25.316482132886577,0.16743630755412675,224.111539331
Uzbekistan,1.1449740259296655,1.5696353636448914,3489.376762521
Vanuatu,0.7580214086040252,0.015944572885786868,4.542290974
Venezuela,9.913113641879917,1.4131620392700996,4144.284386077
Vietnam,9.133119739866071,6.1879596764971145,4032.369773438
Western Europe,5.218171957452177,33.90006029775837,147383.673399005
World,4.182402951836113,429.8538306229252,991887.265783157
Yemen,0.29322964288798015,1.7106302437034921,473.42141933
Zambia,43.47358420053236,0.576557703939696,118.677113213
Zimbabwe,12.362772044605215,0.9414160544934255,384.355421118
